Starting pid: 20256@DESKTOP-5SNUBJS
GC name:Copy
GC name:MarkSweepCompact
new size:2000000
start:237192 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(108 ms)
start:237971 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(101 ms)
start:238757 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(78 ms)
start:239504 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(74 ms)
start:240273 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(95 ms)
start:241046 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(90 ms)
start:241836 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:242588 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(86 ms)
start:243358 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:244123 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(97 ms)
start:244875 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(101 ms)
start:245688 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:246445 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(81 ms)
start:247184 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(78 ms)
start:247957 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(92 ms)
start:248747 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(93 ms)
start:249535 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:250286 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:251083 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:251861 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(94 ms)
start:252642 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(98 ms)
start:253412 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(105 ms)
start:254175 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(88 ms)
start:254922 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(73 ms)
start:255697 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(87 ms)
start:256585 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(99 ms)
start:257353 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(96 ms)
start:258133 Name:Copy, action:end of minor GC, gcCause:Allocation Failure(103 ms)
